cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2013,project_total,start_year,end_year
2012,37,PW4320,Regional Fuel Storage,Public Works - Fleet Services," Project Duration: December 2012 - March 2013 This program is to support the operation, maintenance and compliance with local, State FY 13 New Funding and Federal regulations at 14 fuel sites with an Fleet Capital $300,000 additional two underway within the boundaries of Total $300,000 the City of Long Beach. Fuel site equipment is replaced based on industry standards or when needed to comply with changes in regulations. Fuel system infrastructure can include above or below ground fuel storage tanks, piping and dispensing equipment, fuel containment systems, alarms and other notification equipment, software for accurately recording fuel use and maintenance",6052206,5217965,5256100,1096107,6352207,2013,2013
2012,38,PW4370,Fire Department Facilities Modernization,Fire Department - Facilities," Design: February 2013 – April 2013 Modernize fire department facilities at fire stations  Plan Check: May 2013 – June 2013 throughout the City. Upgrades include providing  Bids: July 2013 – August 2013 gender separation for restrooms and the  Construction: September 2013 - April 2014 conversion of common sleeping dorms to private sleeping quarters in order to provide privacy for FY 13 New Funding the workforce. Facility improvements to stations Capital Projects – General Fund $1,800,000 2, 3, 4, 7, 9, 10, 11, 13, 17, 20, 22, 24, and Fire Total $1,800,000 Training Center.",1033761,169023,532098,2301663,2833761,2013,2013
2012,39,PW4450,Facility Assessments,Public Works - Engineering, Prepare Feasibility Study: January 2013 - Evaluate the potential and feasibility of December 2013 constructing a Levitt Pavillion in Long Beach. FY 13 New Funding,821912,821571,821571,200341,1021912,2013,2013
2012,40,PW6010,Queensway Bay - Rainbow Harbor,Public Works - Engineering,"2013 The existing fire alarm system on the Queen Mary  Design: March 2013 - June 2013 consists of a network of 11 control panels and  Construction: July 2013 - October 2013 4,400 initiating and notification devices. Work  Inspection and Testing: November 2013 - consists of site assessment, design and December 2013 construction of fire alarm system improvements. FY 13 New Funding",44004465,43873611,43990663,1413802,45404465,2013,2013
2012,43,PW7020,Storm Drain Pump Station Repair & Certification,Public Works - Engineering,"Repair and upgrade storm water pumps at various FY 13 New Funding locations in accordance with AQMD regulations. Gas Tax Street Improvement Capital $600,000 Total $600,000",2092136,936755,1249971,1442166,2692137,2013,2013
2012,44,PW7030,Storm Drain Refurbishment - Telemetry,Public Works - Engineering,"Install and upgrade electrical hardware, sensors, FY 13 New Funding software, alarms, and computers to monitor, Gas Tax Street Improvement Capital $100,000 operate, and detect problems at all 23 City-owned Total $100,000 storm drain pump stations.",2446587,2346587,2356535,190053,2546588,2013,2013
2012,51,PW5080,Bridge Rehabilitation & Seismic Retrofit,Public Works - Engineering,"FY 2013 In conjunction with the County of Los Angeles and Caltrans, inspect, repair, upgrade, and retrofit City FY 13 New Funding of Long Beach owned bridges. Gas Tax Street Improvement Capital $500,000 Total $500,000",7484446,5119273,5339977,2644469,7984446,2013,2013
2012,52,PW5151,Citywide Residential Street Repair,Public Works - Engineering,"February 2013 Repair residential streets and alleys through  Construction: February 2013 - September 2013 pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include FY 13 New Funding replacement of damaged curbs, gutters, drive Capital Projects – Refuse Fund $400,000 approaches, installation of access ramps and Capital Projects – General Fund $1,825,000 signage. Measure R $4,300,000 Total $6,525,000",63116132,48110721,51775083,17866050,69641133,2013,2013
2012,53,PW5250,Citywide Infrastructure Improvements (Sidewalks),Public Works - Engineering,February 2013 Construct sidewalk improvements associated with  Construction: February 2013 - September 2013 the backlog of neighborhood infrastructure needs.  Complete all projects in FY 2013,47850126,40858666,45972320,4777882,50750202,2013,2013
2012,54,PW5390,Citywide Slurry Seal Program,Public Works - Engineering,"January 2013 Repair residential streets through pavement  Construction: May 2013 - September 2013 sealing and slurry sealing. Repair work to also  Complete project in FY 2013 include patching the street pavement and installation of traffic striping and marking. FY 13 New Funding Capital Projects – General Fund $2,000,000",3398179,3386972,3386972,2011208,5398180,2013,2013
2012,55,PW5450,ADA Response Program,Public Works - Engineering,"September 2013 Construct access ramps and sidewalks on public rights-of-way based on verified requests. Remove FY 13 New Funding or relocate City owned obstructions in public Gas Tax Street Improvement Capital $500,000 rights-of-way. Total $500,000",3105651,2582255,2891970,713681,3605651,2013,2013
2012,62,PWT170,Traffic Mitigation Program,Public Works - Traffic & Transportation," Construction: Initiated in FY 2013 Construct improvements to mitigate traffic impacts due to development and increase in traffic FY 13 New Funding volumes. Projects include corridor studies, modal Traffic Mitigation Program $600,000 improvements, and lane addition/modifications. Total $600,000",12172064,5411686,6852033,5920026,12772059,2013,2013
2012,68,AP1030,Airport Terminal Area Improvements,Airport,"- Design: November 2012 - March 2013 The Long Beach Airport terminal building is - Construction: April 2013 - September 2013 heavily used on a daily basis, requiring regular  Airport Terminal Area Improvements: major maintenance, repairs and improvements. - Design: April 2013 - December 2013 Anticipated work includes constructing a common- - Construction: April 2014 - November 2014 use building for a Phase I Rental Car Facility to house all rental car companies and include a FY 13 New Funding surface parking lot for vehicle storage, customer Airport Capital $1,650,000 pick-up and customer return, preparing a Facility Airport Customer Facility Charges $1,450,000 Condition Assessment report on the Airport Total $3,100,000 building systems and infrastructure, improving the Airport Terminal building's mechanical and electrical systems and other improvements as needed.",16515355,13785288,13886869,5728486,19615355,2013,2013
2012,69,AP1070,Airfield Pavement Rehabilitation,Airport," October 2012 - September 2013 This program initiates repairs and improvements necessary to comply with Part 139 certification FY 13 New Funding requirements. Improvements are emergency Airport Capital $350,000 repairs and unforseen maintenance on utility, Total $350,000 pavement, crack sealing and slurry sealing, signage, lighting replacement and pavement marking modifications.",79926616,66937164,67628579,12648037,80276616,2013,2013
