cip_year,source_page,department,project_name,project_id,previous_appropriations,project_total,project_description,department_contact,year_2017,validation_label
2016,72,Public Works - Engineering,Citywide Infrastructure Improvements (Sidewalks),PW5251,1337012,4337012,Construct sidewalk improvements associated with  Construction February 2017 - September 2017 the backlog of neighborhood infrastructure needs.,Alvin Papa (562) 570-6386,3000000,
2016,73,Public Works - Engineering,Citywide Slurry Seal Program,PW5390,171195,13251194,Repair residential streets through pavement,Alvin Papa (562) 570-6386,13080000,
2016,74,Public Works - Engineering,ADA Response Program,PW5450,7137,507137,Construct access ramps and sidewalks on public,Alvin Papa (562) 570-6386,500000,
2016,77,Public Works - Traffic & Transportation,Sustainable Transportation Improvements,PWT010,7683305,9013305,"Design, construct, implement projects and  Construction: September 2017 – February 2017 programs to enhance the safety and viability of bicycle and pedestrian routes.",Eric Widstrand (562) 570-6665,1330000,
2016,79,Public Works - Traffic & Transportation,Citywide Signage Program,PWT110,904045,1554045,"the fiscal year. Install and replace street name signs and traffic control signs at various locations, as needed,",Michael Sickles (562) 570-3264,650000,
2016,80,Public Works - Traffic & Transportation,Traffic Mitigation Program,PWT170,1765161,2165162,"Construct improvements to mitigate traffic impacts September 2017 due to development and increase in traffic volumes. Projects include corridor studies, modal",Eric Widstrand (562) 570-6665,400000,
2016,81,Public Works - Traffic & Transportation,Traffic & Pedestrian Signals,PWT190,4983483,5983483,Construct pedestrian related safety improvements and high priority traffic signal safety improvement,Eric Widstrand (562) 570-6665,1000000,
2016,85,Airport,Airport Terminal Area Improvements,AP1030,1776130,2776130,The Long Beach Airport's historic terminal building is heavily used on a daily basis. This high usage,Carolyn Carlton-Lowe (562) 570-2630,1000000,
2016,86,Airport,Airfield Pavement Rehabilitation,AP1070,4245975,5245975,Repairs and improvements necessary to comply with Part 139 Certification requirements.,Carolyn Carlton-Lowe (562) 570-2630,1000000,
2016,87,Airport,Rental Car Facility,AP1270,6614997,8964997,Rental car customer service building and rental car storage lot.,Carolyn Carlton-Lowe (562) 570-2630,2350000,edited
