cip_year,source_page,department,project_name,project_id,previous_appropriations,project_total,project_description,project_timeline,department_contact,year_2024,year_2025,year_2026
2023,55,Mobility and Safety,ARTERIAL CORRIDOR ENHANCEMENTS,3003030000,73288305,120591305,"Design and construct projects that focus on multiple modes of transportation. Improvements along major roadways include transportation facilities that will improve the level of safety for all who traverse the corridors. Vehicles, pedestrians, bicyclist and transit users will experience an improved level of comfort that will proactively encourage multi‐modal use. • Anaheim Corridor Safety Improvements • Artesia Great Boulevard • Studebaker Safety Improvements • Market Pedestrian Streetscape • Shoemaker Bridge Replacement & Shoreline Drive Realignment Project",Design and construction on a continuous basis.,Public Works ‐ Transportation Project Management ‐ Mouhsen Habib ‐ (562) 570‐5115,19000000,13550000,14753000
2023,56,Mobility and Safety,ARTERIAL STREET REHABILITATION,3003040000,60835158,99849158,"Reconstruction and resurfacing of city streets to extend useful life, provide incidental curb, gutter and sidewalk improvements, construct curb ramps, bus pads and replace pavement markings. • C lark Avenue between Anaheim Street and Spring Street • W ardlow Road between San Gabriel River and Norwalk Boulevard • P alo Verde Avenue between 405 Freeway and Cantel Street • A therton Street between Knoxville Avenue and Volk Avenue • 6 th Street between Elm Avenue and Alamitos Avenue • A tlan(cid:415)c Avenue between Ocean Boulevard and 10th Street • 7 th Street between Marine Avenue and Long Beach Boulevard • O cean Boulevard between Los Angeles River and Pacific Avenue",Design and construction on a continuous basis.,Public Works ‐ Transportation Project Management ‐ Mouhsen Habib ‐ (562) 570‐5115,15200000,11583000,12231000
2023,57,Mobility and Safety,BIKEWAY AND PEDESTRIAN IMPROVEMENTS,3003060000,46432065,55432065,"Design, construct, implement projects and programs to enhance the safety and viability of pedestrian and bicycle routes. • D owntown Walkable Corners • P ine Ave Bike Boulevard • P acific Ave Cycle Track • W oodruff Ave Traffic Signal Synch • S outh Street Traffic Signal Synch • M id City Signal Coordin(cid:415)on • L ivability Ini(cid:415)a(cid:415)ves • G rant Matching Funds",Design and construction on a continuous basis.,Public Works ‐ Traffic Engineering ‐ Paul Van Dyk ‐ (562) 570‐6332,3600000,2700000,2700000
2023,58,Mobility and Safety,BRIDGE IMPROVEMENTS,3003070000,26358144,27858144,"In conjunction with the County of Los Angeles and Caltrans, inspect, repair, upgrade, and retrofit City of Long Beach owned bridges. Perform bridge deck repairs listed in the 2016/2017 County of Los Angeles condition surveys.",Continuous on an as‐needed basis.,Public Works ‐ Engineering ‐ Keith Hoey ‐ (562) 570‐5786,500000,500000,500000
2023,59,Mobility and Safety,BUS STOP IMPROVEMENTS,3003080000,6607813,8973203,Provides recreational transit services and improvements to bus stops at various locations throughout the City.,Design: October 2023 ‐ January 2024 Construction: February 2024 ‐ September 2024,Public Works ‐ Engineering ‐ Keith Hoey ‐ (562) 570‐5786,800000,689195,876195
2023,60,Mobility and Safety,ADA CURB RAMP IMPROVEMENTS,3003100000,13043899,42695314,Construct curb ramp improvements for compliance with ADA specifications.,Design and construction on a continuous basis.,Public Works ‐ Engineering ‐ Keith Hoey ‐ (562) 570‐5786,9683805,9883805,10083805
2023,61,Mobility and Safety,MEDIAN AND PARKWAY IMPROVEMENTS,3003130000,2990346,3690346,Improvements may include re‐landscaping and turf convresion to reduce water requirements and installation of solar powered irrigiation controllers.,Design and construction on a continuous basis.,Public Works ‐ Public Service ‐ Willie Owens ‐ (562) 570‐2722,700000,0,0
2023,62,Mobility and Safety,RESIDENTIAL STREET IMPROVEMENTS,3003170000,17339754,61320754,"Repair residential streets and alleys through pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include replacement of damaged curbs gutters, drive approaches, installation of access ramps and replacement signage.",Design: October 2023 ‐ January 2024 Construction: January 2024 ‐ September 2024,Public Works ‐ Transportation Project Management ‐ Vahik Vartanians ‐ (562) 570‐5786,14429000,14604000,14948000
2023,63,Mobility and Safety,CITYWIDE SINKHOLES,3003190000,945489,1695489,Apply permanent repair or temporary patching of sinkholes and subsidence in the public right‐of‐way.,Continuous on an as‐needed basis.,Public Works ‐ Engineering ‐ Keith Hoey ‐ (562) 570‐5786,250000,250000,250000
2023,64,Mobility and Safety,SLURRY SEAL,3003200000,609005,5109005,Repair residential streets through pavement sealing and slurry sealing. Repair work to also include patching the street pavement and installation of traffic striping and markings.,Design and construction on a continuous basis.,Public Works ‐ Public Service ‐ Marc Wright ‐ (562) 570‐5183,1500000,1500000,1500000
2023,65,Mobility and Safety,CITYWIDE STRIPING & SIGNAGE PROGRAM,3003210000,3770503,5020503,"Install, replace, and maintain street name signs, traffic control signs, and traffic and pedestrian striping at various locations, as‐needed, throughout the City.",Continuous on an as‐needed basis.,Public Works ‐ Public Service ‐ Marc Wright ‐ (562) 570‐2780,250000,750000,250000
2023,66,Mobility and Safety,TRAFFIC SIGNAL IMPROVEMENTS,3003220000,7608162,11006162,"Construct pedestrian related safety improvements and high priority traffic signal safety improvement projects to address accident prone intersections and safety concerns. Implement pedestrian countdown flashing beacons, improve lighting, and crosswalk signals at various intersections.",Design and construction on a continuous basis.,Public Works ‐ Transportation Mobility ‐ Paul VanDyk ‐ (562) 570‐6332,1800000,799000,799000
2023,71,Parks,PARK AMENITY IMPROVEMENTS,3004010000,27505682,28405682,"Improvements, upgrades and maintenance of park amenities. Improvements include: activation of unused park space, increase ADA accessibility, playground structures and fitness equipment. • B ixby Knolls Park Playground Improvements • S ilverado Park Signature Playground",Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,900000,0,0
2023,72,Parks,OPEN SPACE DEVELOPMENT,3004020000,21993298,26843298,Acquisition of park land and development of parks throughout the City. • D eForest Park Vision Park Implementa(cid:415)on • D rake Park/Chavez Park Expansion & Connec(cid:415)on Project • M acArthur Park Renova(cid:415)on,Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,4850000,0,0
2023,73,Parks,PARK FACILITY IMPROVEMENTS,3004030000,11564406,20564406,"Improvements to City Park buildings to minimize structural deficiencies, extend the useful life of facilities, and improve energy efficiency. • E l Dorado Park Restrooms and Outdoor Gathering Space Improvements • H oughton Park Parking Lot and Gathering Area Improvements • K illing Fields Memorial Garden and Cambodian Veteran Memorial Monument • M LK Jr. Park Community Center Improvements",Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,3200000,3020000,2780000
2023,77,Public Facilities,FACILITY IMPROVEMENTS,3005010000,113254444,120514444,"Improvements to City buildings to minimize structural deficiencies, extend the useful life of facilities, and improve energy efficiency. • M ain Health Cri(cid:415)cal Facility Improvements • 7 02 W. Anaheim Improvements • A lamitos Bay Library Improvements • E l Dorado Library Improvements • C onven(cid:415)on Center Improvements",Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Tony Resendez ‐ (562) 570‐6258,5990000,75000,1195000
2023,81,Utilities,WATER QUALITY IMPROVEMENTS,3006040000,30895664,45095664,"Water quality improvements citywide to meet trash requirements mandated by the State Regional Water Quality Control Board (SRWQCB). This program also includes required monitoring, modeling, and implementation actions associated with Total Maximum Daily Loads (TMDLs) as mandated by the State and Federal agencies. • L os Cerritos Channel Sub‐basin 4 Stormwater Capture Facility • L FD Systems • D eforest Wetlands Trash Mi(cid:415)ga(cid:415)on • E l Dorado Park Water Treatment System • S kylinks Golf Course Stormwater Capture System • T rash Interceptor Barge • U pdate the Stormwater/Storm Drain Master Plan • L BMUST Phase II project • C itywide Trash Capture Device Installa(cid:415)on",Design and construction on a continuous basis.,Public Works ‐ Engineering ‐ Melissa You ‐ (562)570‐5524,8200000,3000000,3000000
