cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2015,project_total,start_year,end_year
2014,38,PW4301,North Branch Library,Public Works - Engineering,"Design and construct a new North Library facility. FY 15 New Funding General Capital Projects $2,000,000",0,0,0,2000000,2000000,2015,2015
2014,39,PW4500,Schroeder Hall East Police Station,Public Works - Engineering,"Renovation of Schroeder Hall into the new East FY 15 New Funding Division Police Sub-Station. General Capital Projects $400,000 Total $400,000",460492,0,1000,859492,860492,2015,2015
2014,43,PW7020,Storm Drain Pump Station Repair & Certification,Public Works - Engineering," Construction: April 2015 - October 2016 Repair and upgrade storm water pumps at various locations in accordance with AQMD regulations. FY 15 New Funding Gas Tax Street Improvement $1,000,000",3771414,1357870,1775368,2996046,4771414,2015,2015
2014,44,PW7030,Storm Drain Refurbishment - Telemetry,Public Works - Engineering," Construction: November 2015 Install and upgrade electrical hardware, sensors, software, alarms, and computers to monitor, FY 15 New Funding operate, and detect problems at all 23 City owned Gas Tax Street Improvement $100,000 storm drain pump stations. Capital Total $100,000",2646587,2359271,2439321,307266,2746587,2015,2015
2014,45,PW7060,Storm Drain System & Water Quality Improvements,Public Works - Engineering," Construction: January 2015 – September 2015 Repair storm water catch basins and storm water mainline pipes. Construct storm drain FY 15 New Funding enhancements. Conduct water quality Gas Tax Street Improvement $450,000 improvements along Queensway Bay, San Pedro Capital Bay, Alamitos Bay, and Los Cerritos Channel. Total $450,000 Initiate required monitoring modeling and implementation actions associated with Total Maximum Daily Loads (TMDL) as mandated by the State and Federal agencies. Improvements include construction of bioswales, low flow diversions and Structural Best Management Practices (BMP) for trash, metal and bacteria.",17236242,15279299,16001065,1685178,17686243,2015,2015
2014,49,PW4230,Proposition A Transit Related Improvements,Public Works - Engineering, Construction: February 2015-– September Primarily bus stop improvements at various 2015 locations and recreational transit. FY 15 New Funding,5893173,5060979,5346979,1371194,6718173,2015,2015
2014,52,PW5080,Bridge Rehabilitation & Seismic Retrofit,Public Works - Engineering,"15 In conjunction with the County of Los Angeles and CALTRANS, inspect, repair, upgrade, and retrofit FY 15 New Funding City of Long Beach owned bridges. Gas Tax Street Improvement $500,000 Capital",7556646,5513204,5866636,2190010,8056646,2015,2015
2014,53,PW5151,Citywide Residential Street Repair,Public Works - Engineering,"February 2015 Repair residential street and alleys through  Construction: February 2015 - September 2015 pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include FY 15 New Funding replacement of damanged curbs, gutters, drive General Capital Projects $400,000 approaches, installation of access ramps and Measure R $4,525,000 replacement signage. Total $4,925,000",81832237,64837308,76103823,10653412,86757235,2015,2015
2014,54,PW5250,Citywide Infrastructure Improvements (Sidewalks),Public Works - Engineering,February 2015 Construct sidewalk improvements associated with  Construction February 2015 - September 2015 the backlog of neighborhood infrastructure needs.,56710776,49497320,55947920,3762856,59710776,2015,2015
2014,55,PW5450,ADA Response Program,Public Works - Engineering,"September 2015. Construct access ramps and sidewalks on public rights of way based on verified requests. Remove FY 15 New Funding or relocate City owned obstructions in public rights Gas Tax Street Improvement $500,000 of way. Capital Total $500,000",4105653,3186583,3945583,560070,4505653,2015,2015
2014,60,PWT010,Sustainable Transportation Improvements,Public Works - Traffic & Transportation,"4600 Del Mar Avenue between L.A. River Trail Design, construct, implement projects and programs to enhance the safety and viability of bicycle and pedestrian routes.",20671471,9189938,10903162,10443307,21346469,2015,2015
2014,62,PWT170,Traffic Mitigation Program,Public Works - Traffic & Transportation," Construction: January 2015 – September 2015 Construct improvements to mitigate traffic impacts due to development and increase in traffic FY 15 New Funding volumes. Projects include corridor studies, modal Traffic Mitigation Program $400,000 improvements, and lane addition/modifications. Total $400,000",12802044,9136306,12563422,638622,13202044,2015,2015
2014,65,PWT280,Light Rail Transit Related Improvements,Public Works – Traffic & Transportation,"FY 15 New Funding Replace aging traffic signal and train control Proposition A $300,000 computers to provide traffic signal priority, or Total $300,000 synchronization, for Blue Line trains throughout Long Beach.",1262209,765367,765367,796842,1562209,2015,2015
2014,70,AP1030,Airport Terminal Area Improvements,Airport,"Construction: October 2013 - September 2014 The Long Beach Airport's historic terminal building is heavily used on a daily basis. This high usage FY 15 New Funding leads to unforseen repairs and consists of Airport Capital $500,000 emergency repair to non-scheduled equipment Total $500,000 replacement. The new passenger concourse will require similar as-needed repairs as the facility ages. The critical need is for the Airport to have the ability to keep the facility operational.",4788105,1660313,2036370,0,2036370,,
2014,71,AP1210,Airport Parking Structure,Airport,"Construction: April 2016 - April 2018 Design and construction improvements to Lot A Parking Garage. FY 15 New Funding Airport Capital $1,000,000",49811591,47504446,47513636,3297955,50811591,2015,2015
2014,72,AP1270,Rental Car Facility,Airport," QTA Design: August 2016 - February 2018, Design and construction of a new rental car  CSB Construction: April 2016 - April 2018 customer service building (CSB), rental car  QTA Construction: April 2018 - April 2020 storage lot, and Quick Turnaround (QTA) facility FY 15 New Funding",2962762,6560,6560,5256202,5262762,2015,2015
