cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2014,project_total,start_year,end_year
2013,56,PW4140,Citywide Reroofing,Public Works - Engineering,"Reroof City buildings as needed to prevent FY 14 New Funding damage to structures, equipment and inventory. General Capital Projects $775,000 Total $775,000",1062913,1062913,1062913,775000,1837913,2014,2014
2013,57,PW4160,Cooperative Infrastructure Improvements,Public Works - Engineering,"Due to the significant infrastructure needs, the City FY 14 New Funding Council has allocated funds for each Council Capital Projects - Legislative $3,157,000 District to address specific needs in each council Total $3,157,000 district.",6101233,1340622,1345952,7915214,9261166,2014,2014
2013,58,PW4240,General City Building Refurbishment,Public Works - Engineering,"2014 Refurbish City buildings to minimize structural deficiencies and extend the facility useful life. FY 14 New Funding General Capital Projects $1,350,000",8250174,6242798,6499457,3100717,9600174,2014,2014
2013,59,PW4320,Regional Fuel Storage,Public Works - Fleet Services," Construction: April 2014 - June 2014 Operates, maintain and ensures compliance with local, State and Federal regulations at 14 fuel sites FY 14 New Funding with an additional two underway within the Fleet Capital $250,000 boundaries of the City of Long Beach. Fuel site Total $250,000 equipment is replaced based on industry standards or when needed to comply with changes in regulations. Fuel system infrastructure can include above or below ground fuel storage tanks, piping and dispensing equipment, fuel containment systems, alarms and other notification equipment, software for accurately recording fuel use and maintenance of records.",6352206,5256100,5283630,1318576,6602206,2014,2014
2013,60,PW4370,Fire Department Facilities Modernization,Fire Department - Facilities," Design: July 2013 - Sept 2013 Modernize fire department facilities at Fire  Plan Check: Oct 1013 - Nov 2013 Stations throughout the City. Upgrades include  Bids: Dec 2013 - Jan 2014 providing gender separation for restrooms and the  Construction: Feb 2014 - December 2014 conversion of common sleeping dorms to private sleeping quarters in order to provide privacy for FY 14 New Funding the workforce. General Capital Projects $900,000 Total $900,000",2833761,532098,1597035,2136726,3733761,2014,2014
2013,63,PW7020,Storm Drain Pump Station Repair & Certification,Public Works - Engineering," Construction: April 2014 - October 2014 Repair and upgrade storm water pumps at various locations in accordance with AQMD regulations. FY 14 New Funding Gas Tax Street Improvement $1,000,000",2571414,1251323,1357870,2413544,3771414,2014,2014
2013,64,PW7030,Storm Drain Refurbishment - Telemetry,Public Works - Engineering," Construction: November 2013 Install and upgrade electrical hardware, sensors, software, alarms, and computers to monitor, FY 14 New Funding operate, and detect problems at all 23 City owned Gas Tax Street Improvement $100,000 storm drain pump stations. Capital Total $100,000",2546587,2356535,2359271,287316,2646587,2014,2014
2013,69,PW4230,Proposition A Transit Related Improvements,Public Works - Engineering," Construction: February 2014 – September 2014 Primarily bus stop improvements at various locations and recreational transit. FY 14 New Funding Proposition A $500,000",5234173,4776070,5060978,673194,5734172,2014,2014
2013,72,PW5080,Bridge Rehabilitation & Seismic Retrofit,Public Works - Engineering,"14 In conjunction with the County of Los Angeles and CALTRANS, inspect, repair, upgrade, and retrofit FY 14 New Funding City of Long Beach owned bridges. Gas Tax Street Improvement $500,000 Capital",7056646,5351512,5513203,2043441,7556644,2014,2014
2013,73,PW5151,Citywide Residential Street Repair,Public Works - Engineering,"February 2014 Repair residential street and alleys through  Construction: February 2014 - September 2014 pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include FY 14 New Funding replacement of damanged curbs, gutters, drive Capital Projects - Legislative $1,473,750 approaches, installation of access ramps and General Capital Projects $1,873,750 replacement signage. Measure R $4,300,000 Total $7,647,500",72540149,51914511,64829902,15357745,80187647,2014,2014
2013,74,PW5250,Citywide Infrastructure Improvements (Sidewalks),Public Works - Engineering,February 2014 Construct sidewalk improvements associated with  Construction February 2014 - September 2014 the backlog of neighborhood infrastructure needs.  Complete all projects in FY14,51820620,45972319,49497320,6306300,55803620,2014,2014
2013,75,PW5450,ADA Response Program,Public Works - Engineering,"September 2013 Construct access ramps and sidewalks on public rights of way based on verified requests. Remove FY 14 New Funding or relocate City owned obstructions in public rights Gas Tax Street Improvement $500,000 of way. Capital Total $500,000",3605653,2891970,3186584,919070,4105654,2014,2014
2013,83,PWT170,Traffic Mitigation Program,Public Works - Traffic & Transportation,"Construct improvements to mitigate traffic impacts due to development and increase in traffic FY 14 New Funding volumes. Projects include corridor studies, modal Traffic Mitigation Program $300,000 improvements, and lane addition/modifications. Total $300,000",12815059,6782992,9131313,3983744,13115057,2014,2014
2013,85,PWT190,Traffic & Pedestrian Signals,Public Works - Traffic & Transportation,,17974681,11715002,12792228,6382452,19174680,2014,2014
2013,86,PWT280,Light Rail Transit Related Improvements,Public Works – Traffic & Transportation," Construction: January 2014 – September Replace aging traffic signal and train control 2014 computers to provide traffic signal priority, or synchronization, for Blue Line trains throughout FY 14 New Funding Long Beach. Proposition A $300,000 Total $300,000",962209,767454,765367,496842,1262209,2014,2014
2013,87,PWT370,I-710 FWY Major Corridor Improvements,Public Works - Traffic & Transportation," Construction: Begin July 2014 Ongoing support for City participation in the planning process for improvements to the I-710 FY 14 New Funding freeway and improve the southerly terminus of the MAP-21 $1,292,800 I-710. Measure R $243,200 Total $1,536,000",2934930,1516686,1663493,2807436,4470929,2014,2014
2013,92,AP1030,Airport Terminal Area Improvements,Airport,"September 2014 The Long Beach Airport's historic terminal building is heavily used on a daily basis. This high usage FY 14 New Funding leads to unforseen repairs and consists of Airport Capital $500,000 emergency repair to non-scheduled equipment Total $500,000 replacement. The new passenger concourse will require similar as-needed repairs as the facility ages. The critical need is for the Airport to have the ability to keep the facility operational.",4948106,1246446,1660313,3787793,5448106,2014,2014
2013,93,AP1070,Airfield Pavement Rehabilitation,Airport,"September 2014 Emergency repairs of runways, taxiways, taxilanes, and airfield access roads. Install FY 14 New Funding associated pavement markings, lighting, signage, Airport Capital $1,000,000 and improve drainage systems. Immediate repairs Total $1,000,000 are necessary as soon as damage to critical pavement is detected to ensure the safety of aircraft, airport users, employees, and the traveling public. Additionally, FAA regulations mandate that runways and taxiways be maintained to meet FAA minimum standards",24278251,12395825,18016789,7261463,25278252,2014,2014
2013,94,AP1210,Airport Parking Structure,," Construction: December 2013 - November 2015 Design and construction improvements to Lot A Parking Garage. FY 14 New Funding Airport Capital $500,000",49311591,47284746,47504447,2307145,49811592,2014,2014
2013,95,AP1270,Rental Car Facility,Airport," Construction: June 2014 - May 2016 Rental car customer service building and rental car storage lot. FY 14 New Funding Customer Facility Charge (CFC) $1,500,000",1462762,0,6560,2956202,2962762,2014,2014
