cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027
2021,Bldg - Operations Facility / Structures,98,Citywide,Kearny Mesa Facility Improvements,S20009,,,Council District: 6; Community Plan: Kearny Mesa,999999,16400000,"This project will include tenant improvements to the fire vehicle repair facility located at 8050 Othello Avenue, which will be completed by the lessor with input from the City. The centrally located Kearny Mesa Repair Facility will serve as the primary facility for the repair and maintenance of the City's heavy-duty fire apparatus, as well as a storage facility for the Fire-Rescue Department reserve fleet.","In April 2017, the City entered into a 10-year lease of the facility on Othello Avenue which was intended to serve as a new maintenance and repair facility for heavy-duty fire apparatus. This was in response to findings by CST Fleet Services, a fleet consultant hired by the City, that separate shop space would increase maintenance efficiency for the City's 100+ heavy-duty fire apparatus, rather than sharing space with the refuse packers at the Miramar facility. The City completed additional lease negotiations in September of 2019 and has secured rights to the facility for up to 30 years (15 years with three 5-year renewal options) along with right of 1st refusal to purchase the facility, if owner desires to sell.",15400000,0,0,0,0,0,0
2021,Landfills,106,Environmental Services,Covered Aerated Static Pile System,S16053,,,Council District: Non-City; Community Plan: Non-City,4999999,5000000,This project provides for design and construction of a covered Aerated Static Pile (ASP) system for processing organics at the Miramar Landfill's Greenery. This system will enhance the production and throughput of compost from clean source separated food scraps and yard waste.,AB-1826 and the City's Zero Waste Plan dictate significant increases in organic recycling. Stricter air emission and run-off water standards necessitate covered compost piles.,0,0,0,0,0,0,0
2021,Landfills,107,Environmental Services,Landfill Improvements,AFA00001,2022,2026,Council District: Non-City; Community Plan: Non-City,2034975,8420975,"This annual allocation provides for improvements to existing sanitary landfills to comply with operating permits and regulatory requirements. Such improvements may include fencing, access roads, drains, small structures, and environmental protection projects. This project also provides for improvements to existing landfill gas systems, including gas migration and groundwater monitoring networks at all landfills managed by the City. Improvements include upgrades to existing or additional facilities as deemed necessary by SB1383, as well as engineering reports and/or design plans and specifications necessary to mitigate landfill gas and groundwater issues or to modify monitoring programs.",,0,5586000,200000,200000,200000,200000,0
2021,Landfills,108,Environmental Services,Miramar Landfill Facility Improvements,L17000,,,Council District: Non-City; Community Plan: Non-City,25139285,25139286,This project provides for the construction of infrastructure improvements at the Miramar Landfill. Phase I will provide for the development of a Resource Recovery Facility (RRF) to increase waste diversion from self-haul customers. Phase II will provide for the relocation of the Miramar Greenery as required to comply with conditions of a State- mandated Waste Discharge Requirement for Composting Operations. Phase III will provide for surface improvements to haul roads. Phase IV will provide for the acquisition of landfill gas collection and processing infrastructure currently in place as part of a transfer of gas rights. Phase V will provide for a backup power system for landfill gas collection and processing infrastructure. Phase VI will provide for the replacement of modular restroom and locker trailers that have exceeded their service life.,"The Environmental Services Department (ESD) is responsible for managing operations, maintenance, and compliance of the West Miramar Landfill. This CIP will allow for the most efficient execution of future facility improvement projects and helps to implement the City’s Climate Action Plan.",0,0,0,0,0,0,0
2021,Landfills,109,Environmental Services,Miramar Landfill Storm Water Improvements,L18002,,,Council District: Non-City; Community Plan: Non-City,20299999,20300000,"The project provides for the construction of storm water infrastructure improvements at the Miramar Landfill to maintain regulatory compliance with the Storm Water Industrial General Permit. The project will be implemented in three phases: Phase I includes paving of haul roads, drainage improvements in the Greenery, stabilization of roadway shoulders and drainage channels, and hydroseeding of inactive fill areas; Phase II includes stabilization and/or hydroseeding of secondary roads, sediment traps, storm drain improvements, and basin expansion; Phase III includes improvements to existing basins and development of new basins where feasible.",The storm water basins and associated Best Management Practice (BMP) engineered structures at the Miramar Landfill must be properly designed and constructed to ensure compliance with National Pollutant Discharge Elimination System (NPDES) requirements and to avoid regulatory violations.,0,0,0,0,0,0,0
2021,Bldg - Other City Facility / Structures,118,Facilities Services,Palm Avenue Transitional Housing,S18003,,,Council District: 8; Community Plan: Otay Mesa - Nestor,6499999,6500000,This project converts an existing motel building into a transitional housing community for the SMART Program.,"SMART is an innovative program that provides homeless low-level misdemeanor offenders with housing, case management, job training, and other supportive services required to end the cycle of homelessness.",0,0,0,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,126,Fire-Rescue,Fairmount Avenue Fire Station,S14018,,,Council District: 4; Community Plan: Mid-City: City Heights,2327795,22327795,"This project provides for the design and construction of a new permanent fire station of approximately 13,000 square feet. The project will also include the purchase of a new fire engine apparatus. The facility will accommodate ten fire personnel and will include apparatus bay, dorm rooms, kitchen, watch room, ready room, and station alerting system. The new fire station will comply with Fire’s current station design and construction standards and specifications. This project was included in the Citygate Report.",This project will provide for a fire station to meet emergency response times for the community.,20000000,0,0,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,127,Fire-Rescue,Fire Station No. 08 - Mission Hills,S10029,,,Council District: 3; Community Plan: Uptown,1398499,1398500,This station is located at 3974 Goldfinch Street and it serves Mission Hills and surrounding areas. This project provides for the design and construction of the facility's working areas to provide the full functionality of the fire station operational requirements.,This project will allow for the accommodation of modern fire apparatus to meet current operational requirements for emergency responses.,0,0,0,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,128,Fire-Rescue,Fire Station No. 15 - Ocean Beach Expansion,S13011,,,Council District: 2; Community Plan: Ocean Beach,1047659,1047659,Fire Station 15 serves the community of Ocean Beach and surrounding areas and is located at 4711 Voltaire Street. The project provides for the expansion of the existing fire station facility to meet current department standards and operational needs to serve the growing population.,Expansion of the existing station is needed to keep up with increased operational activity. The project provides for the expansion of the existing fire station facility to meet current department standards and operational requirements to serve the needs of the community.,0,0,0,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,129,Fire-Rescue,Fire Station No. 48 - Black Mountain Ranch,S15015,2023,2023,Council District: 5; Community Plan: Black Mountain Ranch,13391306,15091000,"This project provides for the land acquisition, design and construction of a new permanent fire station of approximately 11,500 square feet. The facility will accommodate ten crewmembers and will include apparatus bay, dorm rooms, kitchen, watch room, ready room, station alerting system, and training classroom/multi-purpose room. This project will also include the cost for the purchase of one fire engine. The new station will be located at Carmel Valley Road and Winecreek Road in the Black Mountain Ranch Community. The new fire station will comply with Fire’s current station design and construction standards and specifications.",This project will provide for the needed fire station to meet the emergency response times of the community. Refer to Black Mountain Ranch Facilities Financing Plan projects.,0,0,1699693,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,130,Fire-Rescue,Fire Station No. 49 - Otay Mesa,S00784,2022,2022,Council District: 8; Community Plan: Otay Mesa - Nestor; Otay Mesa,86413,22586413,"This project provides for an approximately 13,000 square foot double-house fire station to serve the Otay Mesa and Otay Mesa/Nestor Communities. The fire station will be located across the intersection of Ocean View Hills Parkway and Sea Fire Point and will serve the community in addition to Fire Station 6 located at 693 Twining Avenue. The fire station will accommodate 3 apparatus bays and will also have a training room. This project will also include the cost for the purchase of one fire engine. The new fire station will comply with Fire’s current station design & construction standards & specifications.",A second fire station is needed to serve the Otay Mesa and neighboring communities and it will ensure consistency with the recommendations in the Citygate Report.,20000000,2500000,0,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,131,Fire-Rescue,Fire Station No. 50 - North University City,S13021,,,Council District: 1; Community Plan: University,14999999,15000000,"This new facility will provide support to the University City area and will provide emergency response times that meet City and national standards. This new fire station will accommodate up to twelve crew members, a fire engine, service aerial truck, ambulance, and training room. The size of the station will be approximately 13,500 square feet. The building design will comply with Fire’s design and construction standards.",An additional fire station is needed in this area to ensure consistency with the recommendations in the Citygate Report.,0,0,0,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,132,Fire-Rescue,Fire Station No. 51 - Skyline Hills,S14017,2022,2022,Council District: 4; Community Plan: Skyline - Paradise Hills,749999,13890957,"This project provides for the design and construction of a 10,700 square foot permanent station to be built at 7180 Skyline Drive to better serve the growing community of Skyline/Paradise Hills.","An additional fire station is needed in this area to meet response time guidelines in this growing community, as recommended in the Citygate Report.",12640957,500000,0,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,133,Fire-Rescue,Fire Station No. 54 - Paradise Hills,S00785,,,Council District: 4; Community Plan: Skyline - Paradise Hills,83653,16199999,"This project provides for the design and construction of a new 12,500 square foot fire station in the Paradise Hills area to serve the Paradise Hills/Skyline area as well as the purchase of a fire engine apparatus. The new station will accommodate 10 fire personnel, include 3 apparatus bays, dorms, kitchen, watch room, ready room, station alerting, and all essential station infrastructure. The site for this project has not been identified. The new fire station will comply with Fire’s current station design and construction standards & specifications.",This station is needed to serve the Paradise Hills/Skyline community and will ensure consistency with the recommendations in the Citygate Report.,16116346,0,0,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,134,Fire-Rescue,Fire-Rescue Air Ops Facility - PH II,S18007,,,Council District: 6; Community Plan: Kearny Mesa,4104244,22486693,"This project provides the design & construction of a permanent Fire-Rescue Air Operations Facility station at the City's Montgomery-Gibbs Executive Airport. This project will include two hangars and parking spaces for five helicopters, an additional helipad, parking and shelter for a single Heli tender, and three fueling tender vehicles. Due to impacts of existing vernal pools, the project will provide off-side mitigation in Otay Mesa in conjunction with the La Media Road widening project. This project will also provide a hangar support area that includes space for maintenance offices, overhaul, avionics, and storage rooms.",SDFD Air Ops personnel currently do not have any hangar space to house or perform maintenance on aircraft. The proposed hangars will mitigate equipment corrosion from the elements and increase both the safety & lifespan of the aircraft. This project will provide a much-needed permanent solution for the Fire-Rescue Air Operations Facility to meet their air rescue operational requirements.,18382448,0,0,0,0,0,0
2021,Bldg - Pub Safety - Lifeguard Stations,135,Fire-Rescue,North Pacific Beach Lifeguard Station,S10119,,,Council District: 2; Community Plan: Pacific Beach,764821,7257598,"This project provides for the North Pacific Beach Lifeguard Station located at the foot of Law Street, which will be a year-round facility replacing the current station. The structure will include an observation tower, first aid room, reception area, kitchen, locker room/restroom areas, and a rescue vehicles facility.",North Pacific Beach has become a highly frequented beach over the years and new facilities will benefit both the public and the employees. Lifeguards are currently operating from a seasonal tower structure supported by a container-type of facility where medical aids and other daily activities like food preparation take place. This can create health issues for both the public and the employees.,6492777,0,0,0,0,0,0
2021,Bldg - Pub Safety - Fire Fac / Struct,136,Fire-Rescue,Torrey Pines Fire Station,S19003,,,Council District: 1; Community Plan: La Jolla,20555999,20556000,"This project provides for the design and construction of a new permanent 3- bay fire station of approximately 10,500 square feet. The facility will accommodate a crew of nine to eleven fire personnel, and onsite surface parking for Fire-Rescue personnel. In addition, the offsite improvements include but are not limited to site grading, utility, and street/traffic improvements within the public right-of-way along Torrey Pines Road to allow for emergency response apparatus egress and ingress.",This project will provide for the permanent fire station and the associated infrastructure necessary to meet the Fire-Rescue Department’s current operational requirements.,0,0,0,0,0,0,0
2021,Bldg - Libraries,146,Library,L-1 Village Green,RD21000,,,Council District: 1; Community Plan: Pacific Highlands Ranch,1478943,1478943,"This project provides for the design and construction of a two-acre site adjacent to the Pacific Highlands Ranch Library. The improvements will be utilized for civic activities such as a transit center and a pedestrian plaza. This is project L-1 in the Pacific Highlands Ranch, Black Mountain Ranch, Torrey Highlands, and Del Mar Mesa Public Facilities Financing Plans.","This project implements the Pacific Highlands Ranch, Black Mountain Ranch, Torrey Highlands, and Del Mar Mesa Community Plans.",0,0,0,0,0,0,0
2021,Bldg - Libraries,147,Library,Ocean Beach Branch Library,S20015,2022,2022,Council District: 2; Community Plan: Ocean Beach,581488,8499999,"The new extension will create space for an expanded book collection area, a community meeting room, study room, office space, makers space for computers/arts & crafts and a teen room, catering kitchen, storage rooms, outdoor gathering area and two restrooms.",This project provides for the expansion of the Ocean Beach Library using the current site and adjacent property to serve the Ocean Beach community. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.,4448511,3470000,0,0,0,0,0
2021,Bldg - Libraries,148,Library,Pacific Highlands Ranch Branch Library,S14023,2022,2022,Council District: 1; Community Plan: Priority Category: Low,24685234,26164178,This project provides for a new branch library facility on a 1.5-acre site in Pacific Highlands Ranch to serve the entire North City Future Urbanizing Area (NCFUA).,This project will provide branch library service to the NCFUA for future development and population.,0,1478943,0,0,0,0,0
2021,Bldg - Libraries,149,Library,San Carlos Branch Library,S00800,2022,2022,Council District: 7; Community Plan: Navajo,2532740,27039725,"This project provides for the acquisition of a lot adjoining the existing branch library located at 7265 Jackson Drive and building a new 25,000 square-foot library. This project is part of the 21st Century Library System/Library Department Facility Improvements Program. The new building will serve as the district's flagship library.","The existing library does not have adequate programming or community meeting space. It does not have a dedicated children’s or teen area, adequate parking, or necessary infrastructure for technology upgrades and improvements.",23786984,720000,0,0,0,0,0
2021,Bldg - Libraries,150,Library,Scripps Miramar Ranch Library,S00811,2022,2022,Council District: 5; Community Plan: Scripps Miramar Ranch,6076376,6253376,This project provides for an expansion of the Scripps Miramar Ranch Branch Library parking lot located at 10301 Scripps Lake Drive. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.,"The current facility is fully occupied, and the current parking lot does not have the capacity to serve the needs of the community.",0,177000,0,0,0,0,0
2021,Bldg - Other City Facility / Structures,162,Parks & Recreation,Balboa Park Botanical Bldg Improvments,S20005,2022,2022,Council District: 3; Community Plan: Balboa Park,8927155,21500000,"This project provides for the enhancement and restoration of the Balboa Park Botanical Building. Improvements may include: the restoration of the window arcades, fabrication and installation of the arched store front and doors, restoration of the cupola, lattice work, structural repairs and upgrades, addition of a storage and maintenance area, hardscape and landscape improvements, lighting and electrical upgrades, and accessibility enhancements.",The project is needed to bring the building into compliance with current building standards.,0,12572844,0,0,0,0,0
2021,Golf Courses,163,Parks & Recreation,Balboa Park Golf Course,AEA00002,,,Council District: 3; Community Plan: Balboa Park; Mission Bay Park; University,676466,676467,"This annual allocation provides for replacement of minor capital assets on an as-needed basis at the City's Municipal Golf Course - Balboa Park, which may include minor replacements of golf course building structures, fairway, and green systems.",This annual allocation will provide for a capital assets cost-avoidance program allowing for timely replacement of unanticipated failure of golf capital assets.,0,0,0,0,0,0,0
2021,Bldg - Other City Facility / Structures,164,Parks & Recreation,,,,,Council District: 3; Community Plan: Balboa Park,2255962,2378962,"This project provides for the design and construction of two replacement comfort stations on the West Mesa of Balboa Park, one north of the children's play area and one near the intersection of 6th Avenue and Nutmeg Street. The project also includes the demolition of the existing comfort stations at these locations and associated path of travel improvements. It is anticipated the new comfort stations will be prefabricated buildings.","The improvements will bring the park into compliance with the Americans with Disabilities Act (ADA), federal and State accessibility requirements, making these park facilities available to users with disabilities.",123000,0,0,0,0,0,0
2021,Bldg - Parks - Recreation/Pool Centers,165,Parks & Recreation,Balboa Pk Bud Kearns Aquatic Complex Imp,S17000,,,Council District: 3; Community Plan: Balboa Park,3593999,3594000,"This project provides for the design and construction of various improvements of the Bud Kearns Aquatic Complex located in the Morley Field area of Balboa Park. Improvements may include mechanical systems, fencing, accessibility upgrades, pool decking, replacing an outdated steam boiler, platforms, columns, and pool coping.",The improvements are necessary to bring the aquatic complex into full compliance with the San Diego County Department of Environmental Health requirements.,0,0,0,0,0,0,0
2021,Parks - Community,166,Parks & Recreation,Bay Terrace Senior Center,S16060,,,Council District: 4; Community Plan: Skyline - Paradise Hills,6111331,6111331,"This project provides for the design and construction of a senior center within Bay Terraces Community Park. The senior center will be approximately 3,500 square feet and will contain a multi-purpose area, restrooms, one staff office, a kitchen, and storage closet.",The improvements are necessary to meet the needs of the community.,0,0,0,0,0,0,0
2021,Parks - Community,167,Parks & Recreation,Beyer Park Development,S00752,2022,2022,Council District: 8; Community Plan: Otay Mesa; San Ysidro,4805766,19458259,"This project provides for the acquisition, design, and construction of approximately eight useable acres, out of approximately 43 total acres, of a community and neighborhood park on Beyer Boulevard.",This project provides population-based park acreage in accordance with the City's General Plan standards to accommodate the park and recreational needs of the residents within the Otay Mesa and San Ysidro Communities.,152493,14500000,0,0,0,0,0
2021,Parks - Neighborhood,168,Parks & Recreation,Black Mountain Ranch Park Ph2,RD21001,,,Council District: 5; Community Plan: Black Mountain Ranch,9677641,9677642,"This project provides for the design and construction of the second phase of the 30-acre Black Mountain Ranch Community Park. Phase 1 of the project was completed by a developer per an executed reimbursement agreement in 2006 and included the development of 13 acres and four multi-purpose sports fields, provide three soccer fields, four basketball courts, security lighting, and a prefabricated restroom facility. This is project P-1 in the Black Mountain Ranch Public Facilities Financing Plan.",This project implements the Black Mountain Ranch Subarea Plan.,0,0,0,0,0,0,0
2021,Parks - Miscellaneous Parks,169,Parks & Recreation,Canon Street Pocket Park,S16047,2022,2022,Council District: 2; Community Plan: Peninsula,1216406,2867314,"This project provides for the design and construction of a pocket park, approximately 0.75 acres, and will provide park amenities such as a small children's play area, picnic areas, walkways, landscaping, art and/or interpretive signs.",This project will expand the use of the park and contribute to satisfying population-based park acreage requirements as set forth in the City's General Plan to serve residents.,1550908,100000,0,0,0,0,0
2021,Parks - Community,170,Parks & Recreation,Canyonside Community Park Improvements,S12004,2022,2022,Council District: 6; Community Plan: Rancho Penasquitos,2151125,2351125,"This project provides for miscellaneous improvements to serve park users, such as accessibility upgrades to the children's play area, drainage repair at the western parking lot, and creation of a parking area in the northwest corner to accommodate overflow parking needs at the Canyonside Community Park.",This project will provide upgraded and additional recreation amenities to serve the residents of Rancho Penasquitos which is park-deficient by General Plan standards.,0,200000,0,0,0,0,0
2021,Parks - Neighborhood,171,Parks & Recreation,Carmel Creek NP Improvements,S16037,,,Council District: 1; Community Plan: Carmel Valley,1688922,1688923,"This project provides for the design and construction of ADA improvements to an existing children's play area and path of travel, one new group picnic area (six picnic tables), and one new shade structure.",This project will expand the use of the park and contribute to satisfying population-based park acreage requirements as set forth in the City’s General Plan to serve residents.,0,0,0,0,0,0,0
2021,Parks - Neighborhood,172,Parks & Recreation,Carmel Del Mar NP Comfort Station-Development,S16034,,,Council District: 1; Community Plan: Carmel Valley,2330563,2730563,"This project provides for the demolition of the existing comfort station and the design and construction of a new comfort station, which provides accessibility improvements to the children's play area and path of travel. This project is now categorized as a Priority Development Project (PDP). Thus, implementation of permanent structural stormwater Best Management Practices (BMPs) are required.",This project will expand the use of the park and contribute to satisfying population-based park acreage requirements as set forth in the City’s General Plan to serve residents.,400000,0,0,0,0,0,0
2021,Parks - Neighborhood,173,Parks & Recreation,Carmel Grove NP Comfort Station and Park,S16038,,,Council District: 1; Community Plan: Carmel Valley,1761499,1761500,This project provides for the design and construction of a prefabricated comfort station within the neighborhood park.,This project will expand the use of the park and contribute to satisfying population-based park acreage requirements as set forth in the City's General Plan to serve residents.,0,0,0,0,0,0,0
2021,Parks - Neighborhood,174,Parks & Recreation,Carmel Knolls NP Comfort Station-Development,S16033,,,Council District: 1; Community Plan: Carmel Valley,1178699,1178700,This project provides for the design and construction of a prefabricated comfort station within the neighborhood park.,This project will expand the use of the park and contribute to satisfying population-based park acreage requirements as set forth in the City’s General Plan to serve residents.,0,0,0,0,0,0,0
2021,Parks - Neighborhood,175,Parks & Recreation,Carmel Mission NP Comfort Station Development,S16039,,,Council District: 1; Community Plan: Carmel Valley,1177999,1178000,This project provides for the design and construction of a prefabricated comfort station within the neighborhood park.,This project will expand the use of the park and contribute to satisfying population-based park acreage requirements as set forth in the City’s General Plan to serve residents.,0,0,0,0,0,0,0
2021,Parks - Miscellaneous Parks,176,Parks & Recreation,Carmel Valley CP-Turf Upgrades,S16029,,,Council District: 1; Community Plan: Carmel Valley,4774120,4774121,This project provides for the design and construction of approximately 3.2 acres of multi-purpose synthetic turf fields on the joint use field and upgrades to the associated accessible path of travel.,This project will expand the use of the park and contribute to satisfying population-based park acreage requirements as set forth in the City's General Plan to serve residents.,0,0,0,0,0,0,0
2021,Parks - Neighborhood,177,Parks & Recreation,Charles Lewis III Memorial Park,S00673,,,Council District: 9; Community Plan: Mid-City: City Heights,4378844,4378845,"This project provides for the design and construction of a 5.8 total acre parcel, of which 1.9 acres will be developed into the Charles Lewis III Neighborhood Park. Amenities will include: walkways, a half-court basketball court, a fenced dog off-leash area, picnic area with shade structure, turfed area, comfort station, playground, and security lighting.",This project will contribute to satisfying the population-based park acreage requirements set forth in the City's General Plan.,0,0,0,0,0,0,0
2021,Parks - Miscellaneous Parks,178,Parks & Recreation,Children's Park Improvements,S16013,,,Council District: 3; Community Plan: Centre City,8200919,8200920,"This project provides for the design and construction of improvements to the existing Children's Park that could include large multi-purpose lawn areas, a comfort station, children's play area, interactive water fountain, and vendor's building.","This project implements the Downtown Community Plan Policy which implements a program to reclaim open spaces that have deteriorated, have design features that provide use opportunities, and/or are in need of activity and revitalization.",0,0,0,0,0,0,0
2021,Parks - Community,179,Parks & Recreation,Chollas Community Park Comfort Station,S16058,,,Council District: 4; Community Plan: Mid-City: Eastern Area,3134378,3134379,"This project provides for the continuation of the design and development of North Chollas Community Park, located on College Grove Drive midway between 54th Street and College Avenue. The project will consist of a comfort station with a concession area. Future phases may include a tot lot, additional sports and multi-purpose fields, a play area, basketball courts, picnic areas, additional parking areas, creek enhancement, trails, a gymnasium, and an off-leash dog area.",This project will provide a park and athletic facility to serve the greater community. The surrounding area is not currently served by a community park and the region is deficient in sports facilities and open park areas.,0,0,0,0,0,0,0
2021,Parks - Trails,180,Parks & Recreation,Chollas Creek Oak Park Trail,S20012,2022,2022,Council District: 9; Community Plan: Mid-City: Eastern Area,852000,1752000,"The project includes the construction of a 2.3-mile multi-use recreation and active transportation trail with two bridges to cross the creek, informational kiosks, and stairs and fencing where needed. The trail will run northeast from Sunshine Berardini Park (intersection of SR-94 and I-805) along the Chollas Creek, Oak Park Branch to Chollas Parkway-54th Street intersection.","The proposed Oak Park Trail is needed to address local park deficiencies, improve public health, and increase active transportation mobility and access to neighborhood destinations.",0,900000,0,0,0,0,0
